Date,Currencies Total Value,Coins Total Value,Account Total Value,TRY,USD,BTC,ADA,AE,AERGO,ALGO,APPC,ARK,ARN,AST,ATOM2,BAT,BCH,BCPT,BCV,BKBT,BLZ,BNT,BRD,BTG,BTM,BTS,BTT,BTT2,CELR,CHZ,CND,COTI,CTXC,CVC,DACC,DAG,DASH,DCR,DLT,EDO,ELF,ENG,EOS,ETC,ETH,ETHOS,EVX,FUN,GNT,GO,IOT,JST,KNC,LOKI,LRC,LSK,LTC,LUN,MANA,MHC,MITH,MTC,NEBL,NEW,OGN,OMG,ONION,PERL,PHB,PIVX,PPT,QTUM,R,RDN,REP,RLC,RUFF,RVN,SC,SEELE,SKM,SNT,STORJ,STRAT,SWFTC,TFUEL,THETA,TOMO,TRX,USDT,USE,WAN,WIN,WIN2,WTC,XEM,XMX,XRP,ZEC,ZRX
04.05.2020,0,6.92246888,6.92246888,0,0,6.08124303,0,0.00000338,0.00979685,0.00017004,0.00000155,0.00001025,0.01266195,0.03124822,0.03769714,0.00000661,0.00002087,0.02657581,0,0,0.00000011,0.00001246,0.00000292,0.00005431,-0.00190719,0.00000212,0.00226923,0.00000116,0.01750871,0.02265208,0.00000031,0,0.00000097,0.00000145,0.00741806,0,0.0086561,0.00000003,0.02005333,0.00000223,0.00000192,0,0.02735931,0.02543895,0.02295707,0.00000257,0.05287519,0.01347016,0.01133955,0.0464941,0.02501193,0,0.00001492,0.02217698,0.00000147,0.0289534,0.00003285,0.0375095,0.00399687,0.03399396,0.01299769,0,0.01091573,0,0.00000419,0.02069138,0.00013618,0.00000118,0.01495204,0,0.00000013,0.0299889,0.01855528,0.00633759,0.0000009,0.0087218,0,0.03077404,0,0,0,0.00000206,0.00000997,0.01816978,0,0.00000236,0.03143516,0.00002269,0.01380014,0.01122428,0,0,0.00000073,0.00000047,0.01299637,0.00296425,0,0.00001383,0.00000072,0.04995425
06.05.2020,0,6.86768382,6.86768382,0,0,6.07275122,0,0.00000313,0.0097163,0.00015855,0.00000148,0.00000977,0.01200853,0.02935925,0.03496155,0.00000614,0.0000201,0.02551254,0,0,0.0000001,0.00001193,0.00000266,0.00005171,-0.00181049,0.00000205,0.00211693,0.00000108,0.01815267,0.01552461,0.00000033,0,0.00000094,0.00000139,0.00651865,0,0.00818569,0.00000003,0.01766763,0.00000228,0.0000018,0,0.02547938,0.02344808,0.05194466,0.00000236,0.04942251,0.01340566,0.01086194,0.04165037,0.02365889,0,0.00001373,0.0225601,0.00000138,0.02763674,0.00003058,0.03451193,0.00387094,0.03344826,0.01306014,0,0.01031542,0,0.00000351,0.01930499,0.00013481,0.00000112,0.01482158,0,0.00000013,0.02821177,0.01842274,0.00563404,0.00000088,0.00805623,0,0.03046402,0,0,0,0.00000237,0.00000948,0.01689937,0,0.00000229,0.0000006,0.00002178,0.01288015,0.01084235,0,0,0.00000105,0.00000044,0.01234858,0.00278107,0,0.00001307,0.00000067,0.05056111
30.04.2020,0,6.91564891,6.91564891,0,0,6.11436407,0,0.00000332,0.00966717,0.00017738,0.0000015,0.00001035,0.01261316,0.01140152,0.0385321,0.00000664,0.00002184,0.02578396,0,0,0.00000011,0.00001317,0.00000307,0.00005613,-0.00195034,0.0000021,0.00157846,0.00000103,0.01813193,0.01986564,0.00000031,0,0.000001,0.00000143,0.009257,0,0.0090544,0.00000003,0,0.00000213,0.00000192,0,0.02866973,0.02333707,0.02357986,0.00000241,0.03399063,0.01291166,0.01122512,0.04895056,0.02483878,0,0.00001564,0.02218154,0.00000146,0.02966029,0.00003323,0.03605348,0.003728,0.03385349,0.01347274,0,0.01095619,0,0.00000452,0.02199205,0.00015444,0.00000123,0.01541931,0,0.00000013,0.03032845,0.01868782,0.02522356,0.00000091,0.00922114,0,0.03292838,0,0,0,0.00000215,0.00001007,0.01827049,0,0.00000231,0.02666331,0.00002257,0.01325792,0.01159508,0,0,0.00000075,0.00000048,0.01299483,0.00293178,0,0.00001382,0.00000075,0.04985625
12.05.2020,0,6.91630666,6.91630666,0,0,6.19905092,0,0.00000297,0.00957016,0.00016079,0.00000155,0.00001011,0.01191002,0.02863831,0.03416555,0.00000735,0.00002006,0.02471423,0,0,0.0000001,0.00001194,0.00000265,0.00004933,-0.00176776,0.00000192,0.00222833,0.00000104,0.01718226,0.02932364,0.00000047,0,0.00000089,0.00000141,0.00727109,0,0.00801697,0.00000003,0.01359523,0.00000274,0.00000173,0,0.02427494,0.02160494,0.05074413,0.00000227,0.04839963,0.01049794,0.01098368,0.0464145,0.02561788,0,0.00001434,0,0.0000014,0.02590969,0.00002948,0.0345198,0.00412915,0.01106231,0.01259611,0,0.00847704,0,0.00000331,0.02098854,0.00013991,0.0000011,0.01633876,0,0.00000013,0.02835361,0.01842274,0.0061283,0.00000108,0.00981915,0,0.02830221,0,0,0,0.00000327,0.0000097,0.02045046,0,0.00000243,0.00000072,0.00002326,0.01042887,0.01133485,0,0,0.0000011,0.0000004,0.01345928,0.00271029,0,0.00001263,0.00000069,0.00991461
09.05.2020,0,6.90279222,6.90279222,0,0,6.15968163,0,0.00000306,0.00937607,0.00016473,0.00000148,0.00001026,0.01131142,0.02896606,0.0348668,0.00000713,0.00002105,0.03835494,0,0,0.0000001,0.00001202,0.00000272,0.00005062,-0.00180581,0.000002,0.00204577,0.00000103,0.01724834,0.02771467,0.00000036,0,0.00000095,0.00000141,0.00596654,0,0.00803888,0.00000003,0.01828299,0.00000229,0.00000179,0,0.02526977,0.02313466,0.05204268,0.00000223,0.0485425,0.01482427,0.01082895,0.04176939,0.02513892,0,0.00001384,0,0.00000137,0.02642971,0.0000304,0.03419699,0.00401247,0.02049035,0.0127602,0,0.00846752,0,0.00000326,0.02190309,0.00011714,0.00000111,0.01619113,0,0.00000013,0.02856243,0.01802513,0.00596967,0.000001,0.0095696,0,0.02846939,0,0,0,0.00000279,0.00000945,0.01674779,0,0.00000229,0.00000059,0.00002454,0.01064607,0.01043838,0,0,0.00000101,0.00000041,0.01427461,0.00266686,0,0.00001275,0.00000068,0.01086337
21.05.2020,-0.25275098,6.94982913,6.69707815,-0.25275098,0,6.12789002,0,0.00000305,0.009323,0.00015553,0.00000154,0.00001071,0.012199,0.02552307,0.03374455,0.00000677,0.00001906,0.04681136,0,0,0.0000001,0.00001603,0.00000286,0.00004659,-0.0016737,0.00000185,0.00210203,0.0000011,0.02152607,0.02178651,0.00000045,0,0.00000095,0.00000148,0.00850645,0,0.00777776,0.00000002,0.01428965,0.00000279,0.00000199,0,0.02489598,0.02114655,0.05192637,0.00000221,0.05191239,0.00601712,0.01200701,0.04468209,0.02519259,0,0.00001325,0,0.00000162,0.02584119,0.00002903,0.03562597,0.00404751,0.0223184,0.01277974,0,0.00821065,0,0.00000337,0.02573231,0.00009678,0.00000117,0.01817217,0,0.00000014,0.02820419,0.01802513,0.02262125,0.000001,0.00881429,0.02112872,0.0262679,0,0.01079123,0,0.00000245,0.00001233,0.04708513,-0.00936262,0.00003599,0.00000104,0.00002239,0.00990616,0.01100986,0,-0.00529681,0.00000107,0.00000038,0.02840344,0.00266224,0,0.00001212,0.00000074,0.00874526
07.05.2020,0,6.84169843,6.84169843,0,0,6.11510196,0,0.00000287,0.00922022,0.00015004,0.00000134,0.00000931,0.01059973,0.02640966,0.03317378,0.00000579,0.00001925,0.03592168,0,0,0.00000009,0.00001138,0.00000236,0.00004915,-0.00172601,0.00000192,0.00197169,0.00000102,0.01601822,0.00847765,0.0000003,0,0.00000087,0.00000131,0.0072325,0,0.00765313,0.00000003,0.01595152,0.00000216,0.0000017,0,0.02429802,0.02230695,0.05033298,0.00000204,0.04432397,0.01256975,0.01028663,0.04061689,0.02254484,0,0.00001244,0.00580727,0.00000127,0.02557107,0.00002934,0.03241681,0.00369366,0.03316002,0.01193843,0,0.00963866,0,0.00000306,0.01833187,0.00012166,0.000001,0.01355636,0,0.00000012,0.02732687,0.01776005,0.00513376,0.00000083,0.00727258,0,0.02814135,0,0,0,0.00000257,0.00000891,0.01564089,0,0.00000216,0.00000059,0.00002152,0.01216942,0.00998138,0,0,0.00000098,0.0000004,0.01143827,0.00262086,0,0.00001239,0.00000064,0.03633028
08.05.2020,0,6.88860124,6.88860124,0,0,6.142837,0,0.00000301,0.0091901,0.000162,0.0000014,0.00000969,0.01095819,0.02736292,0.03475422,0.00000729,0.00002013,0.03725991,0,0,0.0000001,0.00001177,0.00000272,0.00004992,-0.00176619,0.00000194,0.00199349,0.00000103,0.01657878,0.02848188,0.00000036,0,0.0000009,0.0000014,0.00733082,0,0.00805073,0.00000003,0.01722679,0.00000231,0.0000018,0,0.02461315,0.02280457,0.05105795,0.00000218,0.04741237,0.01375294,0.01091913,0.04388854,0.02484368,0,0.00001309,0,0.00000133,0.02652327,0.00003002,0.03339064,0.00405595,0.03509397,0.01257198,0,0.00827803,0,0.00000308,0.02004213,0.00012624,0.00000104,0.01419841,0,0.00000012,0.02884617,0.01776005,0.00595091,0.00000104,0.00773137,0,0.02867633,0,0,0,0.00000274,0.00000936,0.01640752,0,0.00000237,0.0000006,0.0000241,0.01045029,0.01014575,0,0,0.00000099,0.00000041,0.01585633,0.0026851,0,0.00001257,0.0000007,0.00987629
19.05.2020,0,6.91148267,6.91148267,0,0,6.15810782,0,0.00000293,0.00910282,0.00015059,0.0000015,0.00001005,0.01187118,0.02882281,0.03251669,0.00000662,0.00001916,0.02457542,0,0,0.0000001,0.00001653,0.00000252,0.00004625,-0.00163833,0.00000182,0.00177509,0.00000109,0.02166785,0.02134437,0.00000044,0,0.00000087,0.00000138,0.00780437,0,0.00760286,0.00000002,0.01410474,0.00000273,0.00000169,0,0.02475218,0.02136412,0.05176572,0.00000219,0.04931786,0.00517695,0.0109084,0.04118574,0.02523742,0,0.00001305,0,0.00000155,0.02484696,0.00002878,0.03739064,0.00388631,0.0215663,0.01170067,0,0.00810566,0,0.00000358,0.03115894,0.00010277,0.00000116,0.01563311,0,0.00000014,0.02754145,0.01789259,0.0273615,0.00000098,0.00850979,0.02029453,0.02571415,0,0,0,0.00000252,0.00000974,0.03133527,-0.00943024,0.00001308,0.0000008,0.00002147,0.01005871,0.01022301,0,-0.00469651,0.000001,0.00000037,0.01298676,0.0025553,0,0.00001181,0.00000072,0.00899969
20.05.2020,0,6.90352251,6.90352251,0,0,6.0866544,0,0.00000298,0.00903465,0.00016089,0.00000151,0.00001062,0.01203431,0.03048442,0.03447438,0.00000671,0.00001906,0.04531844,0,0,0.0000001,0.00001597,0.00000257,0.00004636,-0.001661,0.00000186,0.00210674,0.00000109,0.02137663,0.02197366,0.00000046,0,0.00000091,0.00000141,0.00746535,0,0.00791288,0.00000002,0.01388787,0.00000274,0.00000181,0,0.02493367,0.02116586,0.05206407,0.00000224,0.05026363,0.00515913,0.01127497,0.04212445,0.02539616,0,0.00001332,0,0.00000157,0.02519483,0.00002861,0.03572518,0.0039747,0.02231429,0.01189914,0,0.00805914,0,0.00000344,0.03141484,0.00010042,0.00000116,0.01562137,0,0.00000014,0.02824493,0.01802513,0.02559496,0.00000101,0.00864985,0.02021611,0.02586248,0,0.01997842,0,0.00000252,0.00001052,0.03233847,-0.00916012,0.00001797,0.00000104,0.00002167,0.00993592,0.01047964,0,-0.00487318,0.00000102,0.00000037,0.02825958,0.00259675,0,0.00001193,0.00000074,0.00922865
